,OVER,UNDER,OUTLIER_REMOVAL,Precision,Recall,F1,AUPRC,Accuracy,Balanced Accuracy,ROC_AUC
0,0.2,,0,0.059185386007949016,0.8536590393733251,0.11069177175237437,0.0878474442967158,0.9762856924126201,0.9150784689155108,0.9150784689155108
1,0.4666666666666667,,0,0.05780344625126207,0.8535971964543394,0.10826602618879297,0.08658648070047756,0.9756852857351488,0.9147468246661546,0.9147468246661546
2,0.7333333333333334,,0,0.05710448518048772,0.8556998556998557,0.1070583312026709,0.08640992454763571,0.9753201337773809,0.9156134999442598,0.9156134999442598
3,1.0,,0,0.05649692333273447,0.8556173984745413,0.10598351720247193,0.08629282666502619,0.9750392307095858,0.9154315823071052,0.9154315823071053
4,,0.2,0,0.05977166175805622,0.8556586270871985,0.11167869213167306,0.0881703271682943,0.9763208156825428,0.9160940902877034,0.9160940902877035
5,,0.4666666666666667,0,0.055111065893643375,0.8599670171098742,0.10352669627056688,0.08229033706540574,0.9740210166028695,0.9170928766853559,0.9170928766853559
6,,0.7333333333333334,0,0.04531412403875325,0.8536590393733251,0.08599611616726613,0.06597309976094176,0.9680836252789833,0.9109703494001845,0.9109703494001845
7,,1.0,0,0.05012372407435624,0.8597608740465883,0.09467235384963676,0.07741787761862184,0.9714473369889477,0.9157007419667547,0.9157007419667547
8,0.2,0.2,0,0.05917545648872826,0.8515976087404658,0.11065701135586721,0.0878671189349449,0.9763488972486792,0.9140811672423993,0.9140811672423993
9,0.2,0.4666666666666667,0,0.05810719083128711,0.855679241393527,0.108823041488104,0.0875726384370464,0.9757765813217999,0.9158318124559038,0.9158318124559038
10,0.2,0.7333333333333334,0,0.056753789552841695,0.8537414965986395,0.10641474934490554,0.08580397737997282,0.9752112804699493,0.9145815620094652,0.9145815620094652
11,0.2,1.0,0,0.05568527648951138,0.8598639455782312,0.1045912983548655,0.08482073890187038,0.9745722544502003,0.9173174431301107,0.9173174431301107
12,0.4666666666666667,0.4666666666666667,0,0.057738303569900215,0.8557204700061843,0.10817634670154559,0.08708924926088024,0.9756256016893422,0.9157768064115652,0.9157768064115652
13,0.4666666666666667,0.7333333333333334,0,0.05655179345563727,0.8556380127808699,0.1060814249438053,0.08612114859484285,0.9750708315865995,0.9154577169755255,0.9154577169755255
14,0.4666666666666667,1.0,0,0.05607869364324641,0.8577200577200577,0.10526042270089878,0.08543649742527748,0.9747899439906057,0.9163562918078156,0.9163562918078156
15,0.7333333333333334,0.7333333333333334,0,0.05706690569952051,0.8555967841682127,0.10699333867397227,0.0866416498307839,0.9753095948300675,0.9155566883400198,0.9155566883400198
16,0.7333333333333334,1.0,0,0.056579058613046296,0.8597608740465883,0.10616758486372022,0.08642423618493796,0.974958478385093,0.9174593547729731,0.9174593547729731
17,1.0,1.0,0,0.05661967227510929,0.8557410843125128,0.10619794150311779,0.0864209224407782,0.975084886701117,0.9155162871925718,0.9155162871925718
18,,,0,0.061593722200136716,0.8292517006802722,0.11466704677065787,0.0860151718329516,0.9778762461778634,0.9036925545238759,0.9036925545238759
19,0.2,,1,0.013902722442831547,0.935023706452278,0.02739636654659794,0.035798453812203056,0.884844868632913,0.9098909046303912,0.9098909046303912
20,0.4666666666666667,,1,0.01540685506862662,0.9105545248402391,0.0303005634441199,0.02949490198147413,0.899265129499061,0.9049000399731858,0.9049000399731858
