,OVER,UNDER,OUTLIER_REMOVAL,Precision,Recall,F1,AUPRC,Accuracy,Balanced Accuracy,ROC_AUC
0,0.2,,0,0.5079712289757963,0.8414553700267986,0.6319365578659258,0.7469166468788997,0.9982935814890945,0.9200101709884623,0.9200101709884623
1,0.4666666666666667,,0,0.2786802222150375,0.855741084312513,0.4196636720783036,0.7535909385011007,0.9958954637344577,0.9259395852950286,0.9259395852950286
2,0.7333333333333334,,0,0.19763936706983137,0.8740878169449597,0.3220908617122656,0.7351353400959871,0.9936237507823285,0.9339593016103727,0.9339593016103727
3,1.0,,0,0.15296757306192021,0.8861884147598434,0.2608171747856494,0.7239449906641594,0.991295859041203,0.9388330885504544,0.9388330885504544
4,,0.2,0,0.32918451851252595,0.8597608740465883,0.47533558922060326,0.7457154243376348,0.9966995166728203,0.9283486852690779,0.9283486852690779
5,,0.4666666666666667,0,0.1084420809828961,0.8760461760461761,0.19175101674501024,0.7285594328275805,0.9865172044912327,0.9313772902283886,0.9313772902283886
6,,0.7333333333333334,0,0.0619841277134465,0.8902082044939188,0.11520028045370738,0.5747476193446912,0.9740561064635639,0.932204677313347,0.932204677313347
7,,1.0,0,0.03992596276787132,0.9004741290455577,0.07642958042014714,0.6635054405662644,0.9619426557454759,0.9312616323436818,0.9312616323436818
8,0.2,0.2,0,0.5070256058626235,0.8434961863533292,0.6314028854717575,0.7484025535644436,0.9982795391341899,0.9210217860876962,0.9210217860876962
9,0.2,0.4666666666666667,0,0.2622659639051369,0.86573902288188,0.40192062133330975,0.744198493985211,0.9955162619632677,0.9307398313326095,0.9307398313326095
10,0.2,0.7333333333333334,0,0.19284279206904703,0.8800247371675942,0.316005813633365,0.7400358154053884,0.9933814849325973,0.9368011415996422,0.9368011415996422
11,0.2,1.0,0,0.14196509659527354,0.8841063698206554,0.24418277845864605,0.733323642769459,0.9904637189890464,0.9373770334585929,0.9373770334585929
12,0.4666666666666667,0.4666666666666667,0,0.25266713828624676,0.8596165739022881,0.39023561529869666,0.7453524073001268,0.9953477280619054,0.9275994692665337,0.9275994692665337
13,0.4666666666666667,0.7333333333333334,0,0.19362900552914572,0.8760667903525047,0.31680423724333523,0.7344542513791481,0.9934201055693282,0.9348450301585782,0.9348450301585783
14,0.4666666666666667,1.0,0,0.148511114771488,0.8902906617192331,0.2542735048037167,0.7144262426091299,0.9909271843206822,0.9406960404598838,0.9406960404598838
15,0.7333333333333334,0.7333333333333334,0,0.19975602524604988,0.8801484230055658,0.3251620078188487,0.7448657751817007,0.9936377935687174,0.9369913632534821,0.936991363253482
16,0.7333333333333334,1.0,0,0.15202946160628344,0.8842300556586272,0.2591849461929565,0.7054149705461168,0.9911975505369458,0.9378064264540782,0.9378064264540782
17,1.0,1.0,0,0.14895093246533989,0.8760461760461761,0.2545115275938686,0.7264919591574165,0.9911167918018261,0.9336810730045346,0.9336810730045346
18,,,0,0.9231321624474014,0.7926406926406926,0.8520856566749189,0.8158268017076995,0.9995259949197225,0.8962623120977412,0.8962623120977412
19,0.2,,1,0.25515271515428706,0.8495567924139353,0.3891955310621772,0.7116612647892733,0.9952283467175542,0.9225185787509769,0.9225185787509769
20,0.4666666666666667,,1,0.17038207810824663,0.8618016903731188,0.2840622436866889,0.7205156668757982,0.9924018714910435,0.9272147927447255,0.9272147927447255
21,0.7333333333333334,,1,0.13542678463323873,0.8739435168006597,0.23403757084792876,0.7164587024257388,0.989982694210692,0.932063470058174,0.932063470058174
22,1.0,,1,0.10145005099547859,0.8862502576788291,0.18172411488616197,0.7191791223430717,0.9859834879967032,0.9362032288341388,0.9362032288341388
23,,0.2,1,0.15744602358273735,0.8192125334982479,0.2621485041233219,0.49989566534588575,0.9915276139901135,0.9055192505874722,0.9055192505874722
24,,0.4666666666666667,1,0.07756539310233157,0.8679241393527107,0.14138592004591993,0.5832179824834747,0.9800567217937491,0.9240874587694388,0.9240874587694388
25,,0.7333333333333334,1,0.04056708075709339,0.8740259740259739,0.07743780270516196,0.48041104405421564,0.9629011867309952,0.9185405180964683,0.9185405180964684
26,,1.0,1,0.03124611211543738,0.8883116883116884,0.06019347015324378,0.4851414447185853,0.9487442249197388,0.918580338115009,0.918580338115009
27,0.2,0.2,1,0.2585245821049589,0.8373118944547515,0.39215710732845593,0.7267482244218996,0.9953758175180439,0.9164805431860836,0.9164805431860836
28,0.2,0.4666666666666667,1,0.16636890724546516,0.8781282209853639,0.27926269146459004,0.7249630297271806,0.9921280011275011,0.9352268173495132,0.9352268173495133
29,0.2,0.7333333333333334,1,0.12970515357512583,0.8799628942486086,0.22460869535545563,0.7116342030089843,0.989133001862131,0.934642298644625,0.934642298644625
30,0.2,1.0,1,0.09769127834967473,0.8861678004535147,0.17556536208650803,0.7226269508292417,0.9852391340211826,0.9357891743065633,0.9357891743065633
31,0.4666666666666667,0.4666666666666667,1,0.16917747263422572,0.8719439290867863,0.2817191500738655,0.7153467010975494,0.9919805429633431,0.932066085500782,0.932066085500782
32,0.4666666666666667,0.7333333333333334,1,0.12337666397650411,0.8781488352916924,0.21595285278287188,0.7226470542964135,0.9888450685557093,0.9335928215288632,0.9335928215288632
33,0.4666666666666667,1.0,1,0.1049238442191329,0.8943929086786231,0.18699137359321633,0.7228976756959483,0.9859869801856973,0.9402692784956169,0.9402692784956169
34,0.7333333333333334,0.7333333333333334,1,0.12633885531210307,0.8780045351473923,0.22040702519450636,0.722965226308776,0.9890943766639927,0.9336455329659546,0.9336455329659546
35,0.7333333333333334,1.0,1,0.10306642568865909,0.8901669758812616,0.18441116808466057,0.7221993615752021,0.9861836351032075,0.9382583116396971,0.9382583116396969
36,1.0,1.0,1,0.09865346874555922,0.888229231086374,0.17745606855916085,0.7271983960762761,0.985688547320333,0.9370432334493826,0.9370432334493826
37,,,1,0.0,0.0,0.0,0.08052307058640577,0.9982725144432208,0.5,0.5
