,OVER,UNDER,OUTLIER_REMOVAL,Precision,Recall,F1,AUPRC,Accuracy,Balanced Accuracy,ROC_AUC
0,0.2,,0,0.7149944259097862,0.8434961863533292,0.7726920559477339,0.7417339030170117,0.9991432792003911,0.9214544048380262,0.9214544048380262
1,0.4666666666666667,,0,0.6281331592186232,0.8474747474747476,0.7197877531033654,0.7426756171147748,0.9988518550610692,0.9232942033102066,0.9232942033102066
2,0.7333333333333334,,0,0.3460237598847897,0.8557410843125128,0.48847741330007644,0.7146985266247883,0.9967767662677691,0.9263809971093894,0.9263809971093894
3,1.0,,0,0.2101375920100605,0.8637600494743353,0.33626960946982265,0.7120300022839492,0.9939046399193382,0.9289448999635889,0.9289448999635889
4,,0.2,0,0.6333894181988422,0.84568130282416,0.7226486380665594,0.7319393864619537,0.9988694100696615,0.9224080326617502,0.9224080326617502
5,,0.4666666666666667,0,0.3551150901067041,0.8495774067202639,0.49423833982604737,0.73285730263394,0.9968153836375461,0.9233237788925519,0.9233237788925519
6,,0.7333333333333334,0,0.13138181041392155,0.8759637188208617,0.2279469332748772,0.7378511925078569,0.9895859366912217,0.9328730892083662,0.9328730892083662
7,,1.0,0,0.09242498498991968,0.882209853638425,0.16567846850098367,0.7213234539181795,0.9831499644708572,0.932767343504931,0.9327673435049307
8,0.2,0.2,0,0.7511678967598632,0.8312100597814884,0.7888610010417493,0.7329182222491905,0.9992310583116348,0.9153658585490984,0.9153658585490984
9,0.2,0.4666666666666667,0,0.5662345281880075,0.8456400742115028,0.675867563314293,0.7333310890659622,0.9985850056284165,0.9222449707181181,0.9222449707181181
10,0.2,0.7333333333333334,0,0.33258885962622103,0.8576169861884149,0.47799511686384016,0.7210956394575144,0.9967030261828352,0.9272802585656035,0.9272802585656035
11,0.2,1.0,0,0.2654316825224573,0.8679241393527107,0.396548813117578,0.7203167680947308,0.9947227455065928,0.9314331844610134,0.9314331844610134
12,0.4666666666666667,0.4666666666666667,0,0.5777169887459833,0.8435168006596578,0.6809378943128528,0.732642515504414,0.9986060708250706,0.9211956442318389,0.9211956442318389
13,0.4666666666666667,0.7333333333333334,0,0.36775930508794313,0.8617810760667902,0.5120268590690025,0.7197554520153762,0.9970962782605728,0.9295557509134753,0.9295557509134753
14,0.4666666666666667,1.0,0,0.2200516521461937,0.8679241393527107,0.3434007288419898,0.7285066292141019,0.9937571660368161,0.9309495659393032,0.9309495659393032
15,0.7333333333333334,0.7333333333333334,0,0.3333562881264713,0.8597608740465883,0.47901304661329985,0.7281361899131144,0.9967205846433034,0.9283592369459152,0.9283592369459152
16,0.7333333333333334,1.0,0,0.2470073601217829,0.8616573902288188,0.37978304827932535,0.7189259416909175,0.9948526633326316,0.9283701544113161,0.9283701544113161
17,1.0,1.0,0,0.2520178493763658,0.8615543186971758,0.38870478606334224,0.7373736542177485,0.995263462035834,0.928524376343822,0.928524376343822
18,,,0,0.9114955317852985,0.6789321789321788,0.7776341058406828,0.8046650422028578,0.9993293705759714,0.8394080552434844,0.8394080552434842
19,0.2,,1,0.7926344231322109,0.792475778190064,0.7921029754892723,0.7173156770017742,0.9992837249400681,0.8960585105887976,0.8960585105887976
20,0.4666666666666667,,1,0.6373522522434174,0.8272727272727274,0.7135018335179639,0.709857075532426,0.9987991892956047,0.9131844001451654,0.9131844001451654
21,0.7333333333333334,,1,0.40389124797104425,0.8557616986188414,0.5466308902582381,0.723066034224375,0.9974860181161074,0.9267465440494099,0.9267465440494099
22,1.0,,1,0.2313423080272312,0.8636569779426921,0.36415540448021355,0.7168086687674509,0.9947367900189198,0.9293101554328412,0.9293101554328412
23,,0.2,1,0.4052252409843037,0.8211296639868069,0.5338690780846923,0.6940679483529106,0.9973525933689606,0.909393595864462,0.909393595864462
24,,0.4666666666666667,1,0.2772420793768779,0.8354153782725211,0.4152451119641511,0.7091089334461202,0.9958744032224924,0.9157837667262576,0.9157837667262575
25,,0.7333333333333334,1,0.1811702239027045,0.8719439290867863,0.2934602766620174,0.7032293132902557,0.9912361975558719,0.9316932595858635,0.9316932595858638
26,,1.0,1,0.0939804600414275,0.878066378066378,0.16920239021460212,0.6923345478420093,0.984540395847494,0.9313955336157822,0.9313955336157823
27,0.2,0.2,1,0.79617751223419,0.7887033601319315,0.791688912289544,0.7178076479618901,0.9992837257413966,0.8941758187853439,0.8941758187853439
28,0.2,0.4666666666666667,1,0.6250698501810994,0.8353535353535355,0.7083657619050777,0.7277984600798721,0.9987816310200586,0.9172089766703134,0.9172089766703134
29,0.2,0.7333333333333334,1,0.41794663347644584,0.8535559678416821,0.5598761059140869,0.72332266102041,0.9976650867115785,0.9257351265267534,0.9257351265267536
30,0.2,1.0,1,0.28178638531484473,0.8657596371882086,0.42066797402175055,0.7383925440510559,0.9956707544343348,0.9308275174492474,0.9308275174492472
31,0.4666666666666667,0.4666666666666667,1,0.6200998494866419,0.8272314986600702,0.704806080213191,0.7267048100546464,0.9987816303420113,0.9131549927748057,0.9131549927748057
32,0.4666666666666667,0.7333333333333334,1,0.43028317259647375,0.8536590393733251,0.5695705180019414,0.733329573047316,0.9977142411178088,0.9258112828718621,0.925811282871862
33,0.4666666666666667,1.0,1,0.23493274374198664,0.8658833230261802,0.36717022234361874,0.7153781241425278,0.9946244336737406,0.93036529375198,0.93036529375198
34,0.7333333333333334,0.7333333333333334,1,0.4162245267354935,0.8516182230467944,0.555858461289785,0.7233750867539195,0.9976018847109891,0.924736357711604,0.924736357711604
35,0.7333333333333334,1.0,1,0.3204429553016139,0.8598021026592454,0.4588509844521368,0.7371654907573042,0.9962465750632591,0.9281424385234043,0.9281424385234043
36,1.0,1.0,1,0.26543805013677274,0.8659039373325088,0.4051110277904734,0.7436096747485428,0.9955513748775623,0.930839874685986,0.930839874685986
37,,,1,0.0,0.0,0.0,0.12363851682903997,0.9982725144432208,0.5,0.5
