,OVER,UNDER,OUTLIER_REMOVAL,Precision,Recall,F1,AUPRC,Accuracy,Balanced Accuracy,ROC_AUC
1,0.4666666666666667,,0,0.12380063155637014,0.8963100391671819,0.21746674944999408,0.7393278323752773,0.9888169864348072,0.9426435270489023,0.9426435270489023
2,0.7333333333333334,,0,0.08264364350505958,0.9045145330859616,0.15130793506942997,0.727663448235756,0.9823389126689552,0.9434940989295942,0.9434940989295942
3,1.0,,0,0.06139524751952643,0.9125953411667698,0.11502397280546997,0.7264608982835137,0.9756712442432132,0.9441878627997646,0.9441878627997646
4,,0.2,0,0.2015786067793087,0.8759431045145332,0.32683109547640343,0.7263424485107359,0.9936658888190767,0.9349062901360277,0.9349062901360277
5,,0.4666666666666667,0,0.09583773097104045,0.8984126984126984,0.17299889721231068,0.6874235787515344,0.9849687810576573,0.941765658423239,0.941765658423239
6,,0.7333333333333334,0,0.06478589520007934,0.9106369820655535,0.1207692944225756,0.6879912544317894,0.976482322673873,0.9436166814201992,0.9436166814201992
7,,1.0,0,0.04846258436155101,0.9167388167388169,0.09204330152527813,0.6951582715582799,0.9686700126551507,0.9427494094245761,0.9427494094245761
8,0.2,0.2,0,0.21980102731702217,0.8678829107400536,0.35053483633990823,0.748657152533478,0.994427805631551,0.9312648466789624,0.9312648466789624
9,0.2,0.4666666666666667,0,0.12683136516565882,0.8943310657596373,0.2221278097412756,0.7334153532739972,0.9891751272009068,0.9418351774641703,0.9418351774641704
10,0.2,0.7333333333333334,0,0.08407087048630413,0.9045351473922902,0.15378893442317745,0.7345036526556972,0.9827462035264402,0.9437084051682799,0.9437084051682799
11,0.2,1.0,0,0.0599553010713871,0.9044733044733044,0.11244292942152292,0.731871082850432,0.9753095974806152,0.9399527417852163,0.9399527417852165
12,0.4666666666666667,0.4666666666666667,0,0.12450466446048299,0.8862708719851577,0.21830620367887862,0.7299158456704283,0.9890171258978718,0.9377329774518758,0.9377329774518758
13,0.4666666666666667,0.7333333333333334,0,0.08078410209712258,0.9064935064935064,0.14829043836975095,0.7304070893186626,0.9819421606355023,0.9442831037734578,0.9442831037734578
